,Scenario Choice,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,Critical Load Factor,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,Levelized cost of H2 (excl. electricity) (H2A),Levelized H2 Elec Feedstock Cost/kg (HOPP),Total H2 cost/kg,H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2 Elec Feedstock Cost/kg (REopt) Net Cap Cost Method,REOpt Energy Shortfall,REOpt Curtailment,Grid Connected HOPP,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,ATB 2018,1,46.1,-94.33,2018,2013,Plainview Bioenergy - Texas,0.9,5000,yes,yes,90,30,True,1751,1600,292,335,46.36569422847368,19.999,0.001,14.809753458190917,686.6645004415607,True,20000000,20000,5.112720525117543,1.511422195393859,2.837559891440236,4.348982086834095,1.3348359443911726,12.501848738116438,3339737.6799999997,46094385.849,True,80044738.10672054,10778270.439356431,0.0,0.0,0.0
1,ATB 2020 Conservative,1,46.1,-94.33,2020,2013,Plainview Bioenergy - Texas,0.9,5000,yes,yes,90,30,True,1694,1389,269,309,46.365694228472265,19.999,0.001,14.809753458190917,686.6645004415398,True,20000000,20000,4.877847106577242,1.511422195393859,2.707205144150369,4.218627339544228,1.2683525202277683,11.5869128593379,3332455.338,46090472.503,True,80044738.10672054,10778270.439356431,0.0,0.0,0.0
2,ATB 2020 Moderate,1,46.1,-94.33,2020,2013,Plainview Bioenergy - Texas,0.9,5000,yes,yes,90,30,True,1679,1354,260,299,46.365694228472925,19.999,0.001,14.809753458190917,686.6645004415495,True,20000000,20000,4.79721450624074,1.511422195393859,2.662454050963611,4.1738762463574695,1.2455286034010549,11.239776992020548,3330149.4899999993,46086065.511,True,80044738.10672054,10778270.439356431,0.0,0.0,0.0
3,ATB 2020 Advanced,1,46.1,-94.33,2020,2013,Plainview Bioenergy - Texas,0.9,5000,yes,yes,90,30,True,1629,1340,215,247,46.36569422847284,19.999,0.001,14.809753458190917,686.6645004415483,True,20000000,20000,4.420095034789311,1.511422195393859,2.453152744308068,3.9645749397019268,1.1387809180452422,9.455678568025114,3330985.572,46087882.515,True,80044738.10672054,10778270.439356431,0.0,0.0,0.0
4,ATB 2025 Conservative,1,46.1,-94.33,2025,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,100,30,True,1553,1306,233,267,46.365694228473586,19.999,0.001,14.809753458190917,686.6645004415593,True,20000000,20000,4.3279889957043824,1.492866998279339,2.402033892615932,3.894900890895271,1.1201290394886203,10.0753243686758,3325742.5689999997,46085354.319,True,81659506.07468392,10503826.09399717,0.0,0.0,0.0
5,ATB 2025 Moderate,1,46.1,-94.33,2025,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,100,30,True,1492,1095,179,206,46.3656942284717,19.999,0.001,14.809753458190917,686.6645004415315,True,20000000,20000,3.889612390919843,1.492866998279339,2.158734876960513,3.651601875239852,0.9960418697257187,7.979918825468037,3333788.541,46089503.82,True,81659506.07468392,10503826.09399717,0.0,0.0,0.0
6,ATB 2025 Advanced,1,46.1,-94.33,2025,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,100,30,True,1301,1014,139,160,46.36569422847412,19.999,0.001,14.809753458190917,686.6645004415673,True,20000000,20000,3.356942468228039,1.492866998279339,1.8631030698665618,3.3559700681459006,0.8452639714454581,6.298218812956621,3335284.3159999996,46091972.864999995,True,81659506.07468392,10503826.09399717,0.0,0.0,0.0
7,ATB 2030 Conservative,1,46.1,-94.33,2030,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,110,30,True,1414,1223,205,236,46.36569422847332,19.999,0.001,14.809753458190917,686.6645004415554,True,20000000,20000,3.7394948249608624,1.4522601984252637,2.0754196278532784,3.527679826278542,0.9703524242818773,8.934021393413243,3334816.7590000005,46093153.422,True,85568725.91781539,9978770.52067087,0.0,0.0,0.0
8,ATB 2030 Moderate,1,46.1,-94.33,2030,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,120,30,True,1296,836,146,168,46.36569422847269,19.999,0.001,14.809753458190917,686.6645004415461,True,20000000,20000,3.1515826530474538,1.4399897189691928,1.749128372441337,3.1891180914105295,0.8089411411903001,6.563811986986302,3333766.104,46091412.08900001,True,86806167.58510965,9763915.084769346,0.0,0.0,0.0
9,ATB 2030 Advanced,1,46.1,-94.33,2030,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,135,30,True,940,688,101,116,46.36569422847307,19.999,0.001,14.809753458190917,686.6645004415517,True,20000000,20000,2.2987465362450004,1.4115741314228012,1.2758043276159752,2.6873784590387766,0.578833704110364,4.564296725479452,3333540.641,46091518.386999995,True,89736122.57629557,9320888.712998515,0.0,0.0,0.0
10,ATB 2035 Conservative,1,46.1,-94.33,2035,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,120,30,True,1375,1127,193,221,46.365694228472904,19.999,0.001,14.809753458190917,686.6645004415492,True,20000000,20000,3.54421805764793,1.4399897189691928,1.9670410219946008,3.4070307409637937,0.9200807767772209,8.402773553127853,3348450.415,46105112.412,True,86806167.58510965,9763915.084769346,0.0,0.0,0.0
11,ATB 2035 Moderate,1,46.1,-94.33,2035,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,135,30,True,1231,799,137,157,46.36569422847294,19.999,0.001,14.809753458190917,686.6645004415498,True,20000000,20000,2.8849758599711715,1.4115741314228012,1.6011616022840003,3.0127357337068013,0.7447721616358386,6.148463679520548,3338450.32,46094110.69700001,True,89736122.57629557,9320888.712998515,0.0,0.0,0.0
12,ATB 2035 Advanced,1,46.1,-94.33,2035,2013,Plainview Bioenergy - Texas,0.9,5000,no,no,145,30,True,876,645,92,105,46.36569422847273,19.999,0.001,14.809753458190917,686.6645004415466,True,20000000,20000,2.120009340526411,1.400068826074263,1.176605183992158,2.576674010066421,0.5328854311506172,4.149652176175799,3336867.3400000003,46095070.35999999,True,90999088.18608722,9137039.49937682,0.0,0.0,0.0
