,Scenario Choice,Count,Site Lat,Site Lon,ATB Year,Resource Year,Site Name,Critical Load Factor,kW continuous load,PTC,ITC,Hub Height (m),Useful Life,Storage Enabled,Wind Cost kW,Solar Cost kW,Storage Cost kW,Storage Cost kWh,Storage Hours,Wind MW built,Solar MW built,Storage MW built,Storage MWh built,Battery Can Grid Charge,Built Interconnection Size,REOpt Interconnection Size,LCOE,Levelized cost of H2 (excl. electricity) (H2A),Levelized H2 Elec Feedstock Cost/kg (HOPP),Total H2 cost/kg,Total Annual H2 production (kg),H2 Elec Feedstock Cost/kg (HOPP) Net Cap Cost Method,H2 Elec Feedstock Cost/kg (REopt) Net Cap Cost Method,Electrolyzer Size,Electrolyzer Total System Size,H2A scaled total install cost,H2A scaled total install cost per kw,REOpt Energy Shortfall,REOpt Curtailment,Grid Connected HOPP,HOPP Total Generation,HOPP Energy Shortfall,HOPP Curtailment,Battery Generation,Electricity to Grid
0,3MW 160HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,3.902507229926041,1.6741814647273112,2.165891512608953,3.840072977336264,1235826.3477387328,5.925969417770846,223.24475064916285,9.08108108108108,10,4339579.041312115,433.95790413121154,0,239174203.379,True,485693072.8233753,171894.64261181,0.0,0.0,0.0
1,3MW 90HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.570418329321172,1.763482283736674,2.5365821727732505,4.300064456509924,1150069.5908249535,5.294548113546664,223.24475064916285,9.08108108108108,10,4100196.7328113825,410.01967328113824,0,239174203.379,True,382717088.00454015,218821.0540801049,0.0,0.0,0.0
2,2018 COE 160HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,3.944857135958449,1.6741814647273112,2.189395710456939,3.86357717518425,1235826.3477387328,6.010874279146727,223.24475064916285,9.08108108108108,10,4339579.041312115,433.95790413121154,0,239174203.379,True,485693072.8233753,171894.64261181,0.0,0.0,0.0
3,2018 COE 90HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.703507649203748,1.763482283736674,2.6104467453080797,4.373929029044754,1150069.5908249535,5.520465646006839,223.24475064916285,9.08108108108108,10,4100196.7328113825,410.01967328113824,0,239174203.379,True,382717088.00454015,218821.0540801049,0.0,0.0,0.0
4,ATB ADV GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.5172076756478425,1.7865714214502852,2.5070502599845526,4.293621681434837,1130564.719274857,4.414084360432345,223.24475064916285,9.08108108108108,10,4051744.42976659,405.17444297665895,0,239174203.379,True,343576975.79577637,253819.3341245377,0.0,0.0,0.0
5,3MW 160HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.346674880023548,1.5171466595622365,1.3024045584130692,2.819551217975306,1424618.5543457908,5.316747863824973,223.24475064916285,9.08108108108108,10,4880811.27693439,488.081127693439,0,239174203.379,True,731472784.6497314,74971.83691138281,0.0,0.0,0.0
6,3MW 90HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.1400858208744036,1.518151533316493,1.187747630585294,2.705899163901787,1423643.2332451434,4.509635179890962,223.24475064916285,9.08108108108108,10,4880572.642814379,488.05726428143794,0,239174203.379,True,707009702.9731576,70828.55644291268,0.0,0.0,0.0
7,2018 COE 160HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.374796767730104,1.5171466595622365,1.3180122060902075,2.835158865652444,1424618.5543457908,5.390401028329491,223.24475064916285,9.08108108108108,10,4880811.27693439,488.081127693439,0,239174203.379,True,731472784.6497314,74971.83691138281,0.0,0.0,0.0
8,2018 COE 90HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.2121335673805134,1.518151533316493,1.227734129896185,2.745885663212678,1423643.2332451434,4.692139390250184,223.24475064916285,9.08108108108108,10,4880572.642814379,488.05726428143794,0,239174203.379,True,707009702.9731576,70828.55644291268,0.0,0.0,0.0
9,ATB ADV High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.259855328153568,1.5411475058285302,1.2542197071252301,2.79536721295376,1391875.3961493992,3.775727366451245,223.24475064916285,9.08108108108108,10,4785439.930991636,478.5439930991636,0,239174203.379,True,603128990.3116466,94098.2636344127,0.0,0.0,0.0
10,3MW 160HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.529131031498765,1.5152296424587468,1.4036677224818146,2.9188973649405616,1428146.6733392114,5.27432831939403,223.24475064916285,9.08108108108108,10,4896234.510151356,489.62345101513563,0,239174203.379,True,690505009.4170666,67226.59304140566,0.0,0.0,0.0
11,3MW 90HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.540225842859466,1.5366618943151067,1.4098253427870038,2.9464872371021107,1397715.6603209018,4.530079072314667,223.24475064916285,9.08108108108108,10,4801428.882236788,480.1428882236788,0,239174203.379,True,620477672.9995719,83545.1064842305,0.0,0.0,0.0
12,2018 COE 160HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.5589214726757623,1.5152296424587468,1.420201417335048,2.9354310597937947,1428146.6733392114,5.347799529808352,223.24475064916285,9.08108108108108,10,4896234.510151356,489.62345101513563,0,239174203.379,True,690505009.4170666,67226.59304140566,0.0,0.0,0.0
13,2018 COE 90HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.6223237271257243,1.5366618943151067,1.455389668554777,2.9920515628698836,1397715.6603209018,4.715968728911204,223.24475064916285,9.08108108108108,10,4801428.882236788,480.1428882236788,0,239174203.379,True,620477672.9995719,83545.1064842305,0.0,0.0,0.0
14,ATB ADV Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.72640997547453,1.5524673284719381,1.513157536388364,3.065624864860302,1376519.7236824543,3.7574485003290627,223.24475064916285,9.08108108108108,10,4738002.822298013,473.80028222980127,0,239174203.379,True,521671031.0926172,105551.60712471932,0.0,0.0,0.0
15,3MW 160HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,3.902507229926041,1.0893905057186186,2.165891512608953,3.2552820183275717,2777856.5586046227,2.636374120791142,223.24475064916285,22.7027027027027,25,9971880.949130608,398.8752379652243,0,239174203.379,True,485693072.8233753,171894.64261181,0.0,0.0,0.0
16,3MW 90HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.570418329321172,1.1495700232357347,2.5365821727732505,3.686152196008985,2526017.244847131,2.4105531325927827,223.24475064916285,22.7027027027027,25,9255062.82871612,370.2025131486448,0,239174203.379,True,382717088.00454015,218821.0540801049,0.0,0.0,0.0
17,2018 COE 160HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,3.944857135958449,1.0893905057186186,2.189395710456939,3.2787862161755577,2777856.5586046227,2.6741470088167665,223.24475064916285,22.7027027027027,25,9971880.949130608,398.8752379652243,0,239174203.379,True,485693072.8233753,171894.64261181,0.0,0.0,0.0
18,2018 COE 90HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.703507649203748,1.1495700232357347,2.6104467453080797,3.7600167685438146,2526017.244847131,2.5134110543455614,223.24475064916285,22.7027027027027,25,9255062.82871612,370.2025131486448,0,239174203.379,True,382717088.00454015,218821.0540801049,0.0,0.0,0.0
19,ATB ADV GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.5172076756478425,1.1873896820183487,2.5070502599845526,3.6944399420029015,2390562.8516530525,2.087545216540494,223.24475064916285,22.7027027027027,25,8872480.882028075,354.89923528112297,0,239174203.379,True,343576975.79577637,253819.3341245377,0.0,0.0,0.0
20,3MW 160HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.346674880023548,0.9792930808796975,1.3024045584130692,2.2816976392927666,3395639.6259128414,2.230607040211817,223.24475064916285,22.7027027027027,25,11724635.39306339,468.9854157225356,0,239174203.379,True,731472784.6497314,74971.83691138281,0.0,0.0,0.0
21,3MW 90HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.1400858208744036,0.9811267303404424,1.187747630585294,2.1688743609257366,3383714.0863733734,1.8973564090744488,223.24475064916285,22.7027027027027,25,11692597.543104278,467.7039017241711,0,239174203.379,True,707009702.9731576,70828.55644291268,0.0,0.0,0.0
22,2018 COE 160HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.374796767730104,0.9792930808796975,1.3180122060902075,2.297305286969905,3395639.6259128414,2.26150774708857,223.24475064916285,22.7027027027027,25,11724635.39306339,468.9854157225356,0,239174203.379,True,731472784.6497314,74971.83691138281,0.0,0.0,0.0
23,2018 COE 90HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.2121335673805134,0.9811267303404424,1.227734129896185,2.2088608602366273,3383714.0863733734,1.974142117761535,223.24475064916285,22.7027027027027,25,11692597.543104278,467.7039017241711,0,239174203.379,True,707009702.9731576,70828.55644291268,0.0,0.0,0.0
24,ATB ADV High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.259855328153568,1.0082585858041595,1.2542197071252301,2.26247829292939,3209012.4826111123,1.6376820135194,223.24475064916285,22.7027027027027,25,11198492.888599733,447.93971554398934,0,239174203.379,True,603128990.3116466,94098.2636344127,0.0,0.0,0.0
25,3MW 160HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.529131031498765,0.9798878134821649,1.4036677224818146,2.3835555359639793,3390845.229248529,2.2214267930803544,223.24475064916285,22.7027027027027,25,11708902.336694362,468.3560934677745,0,239174203.379,True,690505009.4170666,67226.59304140566,0.0,0.0,0.0
26,3MW 90HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.540225842859466,0.9959626116119563,1.4098253427870038,2.40578795439896,3284240.6333151846,1.9279228195513716,223.24475064916285,22.7027027027027,25,11406179.13812242,456.24716552489684,0,239174203.379,True,620477672.9995719,83545.1064842305,0.0,0.0,0.0
27,2018 COE 160HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.5589214726757623,0.9798878134821649,1.420201417335048,2.400089230817213,3390845.229248529,2.252371191201018,223.24475064916285,22.7027027027027,25,11708902.336694362,468.3560934677745,0,239174203.379,True,690505009.4170666,67226.59304140566,0.0,0.0,0.0
28,2018 COE 90HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.6223237271257243,0.9959626116119563,1.455389668554777,2.4513522801667333,3284240.6333151846,2.0070342224982336,223.24475064916285,22.7027027027027,25,11406179.13812242,456.24716552489684,0,239174203.379,True,620477672.9995719,83545.1064842305,0.0,0.0,0.0
29,ATB ADV Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.72640997547453,1.025524405704491,1.513157536388364,2.538681942092855,3104717.383636867,1.6659171616339823,223.24475064916285,22.7027027027027,25,10896334.760109978,435.85339040439914,0,239174203.379,True,521671031.0926172,105551.60712471932,0.0,0.0,0.0
30,3MW 160HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,3.902507229926041,0.9059758569851792,2.165891512608953,3.0718673695941323,4812203.66683268,1.5218535310238372,223.24475064916285,45.4054054054054,50,17825365.682881404,356.50731365762806,0,239174203.379,True,485693072.8233753,171894.64261181,0.0,0.0,0.0
31,3MW 90HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.570418329321172,0.9649238191810375,2.5365821727732505,3.501505991954288,4219607.402411683,1.4430486540215721,223.24475064916285,45.4054054054054,50,16137013.753569547,322.74027507139095,0,239174203.379,True,382717088.00454015,218821.0540801049,0.0,0.0,0.0
32,2018 COE 160HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,3.944857135958449,0.9059758569851792,2.189395710456939,3.0953715674421183,4812203.66683268,1.5436580247659901,223.24475064916285,45.4054054054054,50,17825365.682881404,356.50731365762806,0,239174203.379,True,485693072.8233753,171894.64261181,0.0,0.0,0.0
33,2018 COE 90HH GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.703507649203748,0.9649238191810375,2.6104467453080797,3.575370564489117,4219607.402411683,1.5046233123578325,223.24475064916285,45.4054054054054,50,16137013.753569547,322.74027507139095,0,239174203.379,True,382717088.00454015,218821.0540801049,0.0,0.0,0.0
34,ATB ADV GA,1,33.162,-83.8,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,4.5172076756478425,1.008696828253104,2.5070502599845526,3.5157470882376565,3869225.7645397857,1.2897691552514776,223.24475064916285,45.4054054054054,50,15148565.049693651,302.97130099387306,0,239174203.379,True,343576975.79577637,253819.3341245377,0.0,0.0,0.0
35,3MW 160HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.346674880023548,0.8046929948879041,1.3024045584130692,2.1070975533009735,6333754.882649578,1.1958684533770365,223.24475064916285,45.4054054054054,50,22143407.21682529,442.86814433650585,0,239174203.379,True,731472784.6497314,74971.83691138281,0.0,0.0,0.0
36,3MW 90HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.1400858208744036,0.8082033015154978,1.187747630585294,1.9959509321007918,6265832.692324907,1.0246222527007598,223.24475064916285,45.4054054054054,50,21952068.533904836,439.0413706780967,0,239174203.379,True,707009702.9731576,70828.55644291268,0.0,0.0,0.0
37,2018 COE 160HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.374796767730104,0.8046929948879041,1.3180122060902075,2.1227052009781118,6333754.882649578,1.2124348767204554,223.24475064916285,45.4054054054054,50,22143407.21682529,442.86814433650585,0,239174203.379,True,731472784.6497314,74971.83691138281,0.0,0.0,0.0
38,2018 COE 90HH High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1185,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.2121335673805134,0.8082033015154978,1.227734129896185,2.035937431411683,6265832.692324907,1.066088550457946,223.24475064916285,45.4054054054054,50,21952068.533904836,439.0413706780967,0,239174203.379,True,707009702.9731576,70828.55644291268,0.0,0.0,0.0
39,ATB ADV High TX,1,35.23328,-102.287,2030,2013,Special_Hybrid_H2,0.9,150,no,no,135,30,False,940,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.259855328153568,0.8397547064568207,1.2542197071252301,2.0939744135820506,5709792.437060647,0.9204085931076088,223.24475064916285,45.4054054054054,50,20374580.84979636,407.4916169959272,0,239174203.379,True,603128990.3116466,94098.2636344127,0.0,0.0,0.0
40,3MW 160HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1359,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.529131031498765,0.8108643670699769,1.4036677224818146,2.2145320895517915,6211866.582392649,1.2126008090373457,223.24475064916285,45.4054054054054,50,21793264.518175554,435.86529036351106,0,239174203.379,True,690505009.4170666,67226.59304140566,0.0,0.0,0.0
41,3MW 90HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,90,30,False,1133,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.540225842859466,0.827079668812228,1.4098253427870038,2.236905011599232,5915909.146593841,1.0702940672291739,223.24475064916285,45.4054054054054,50,20949171.91251632,418.98343825032634,0,239174203.379,True,620477672.9995719,83545.1064842305,0.0,0.0,0.0
42,2018 COE 160HH Moderate,1,32.183170000000004,-101.515,2030,2013,Special_Hybrid_H2,0.9,150,no,no,160,30,False,1380,9999,1000,1100,13.700527711349219,150,0,0,0,False,150000,150,2.5589214726757623,0.8108643670699769,1.420201417335048,2.2310657844050246,6211866.582392649,1.229492296217195,223.24475064916285,45.4054054054054,50,21793264.518175554,435.86529036351106,0,239174203.379,True,690505009.4170666,67226.59304140566,0.0,0.0,0.0
