Scenario Number,Scenario Name,ATB Year,PTC Available,ITC Available,Debt Equity,Tower Height,Rotor Diameter,Wind Cost KW,Solar Cost KW,Storage Cost kW,Storage Cost kWh
1,ATB 2020 Conservative,2020,yes,yes,60,90,121,1694,1389,269,309
2,ATB 2020 Moderate,2020,yes,yes,60,90,121,1679,1354,260,299
3,ATB 2020 Advanced,2020,yes,yes,60,90,121,1629,1340,215,247
4,ATB 2025 Conservative,2025,no,no,90,100,130,1553,1306,233,267
5,ATB 2025 Moderate,2025,no,no,90,100,130,1492,1095,179,206
6,ATB 2025 Advanced,2025,no,no,90,100,130,1301,1014,139,160
7,ATB 2030 Conservative,2030,no,no,90,110,150,1414,1223,205,236
8,ATB 2030 Moderate,2030,no,no,90,120,175,1296,836,146,168
9,ATB 2030 Advanced,2030,no,no,90,135,200,940,688,101,116
10,ATB 2035 Conservative,2035,no,no,90,120,170,1375,1127,193,221
11,ATB 2035 Moderate,2035,no,no,90,135,200,1231,799,137,157
12,ATB 2035 Advanced,2035,no,no,90,145,220,876,645,92,105