,Year,Cumulative cash flow,Investor cash flow,Monetized tax losses,Gross margin,Cost of goods sold ($/year),Cost of goods sold ($/metric tonnes),Average utilization,Steel sales (metric tonnes/day),Capacity covered by TOPC (metric tonnes/day),Cost of Steel ($/metric tonnes),Steel sales (metric tonnes/year),Sales revenue of Steel ($/year),Value of Oxygen sales ($/kg O2 per metric tonne of steel),Oxygen sales sales ($/year),Value of Maintenance Materials ($/Units per metric tonne of steel),Maintenance Materials expenses ($/year),Value of Raw Water Withdrawal ($/metric tonnes of water per metric tonne of steel),Raw Water Withdrawal expenses ($/year),Value of Lime ($/metric tonnes of lime per metric tonne of steel),Lime expenses ($/year),Value of Carbon ($/metric tonnes of carbon per metric tonne of steel),Carbon expenses ($/year),Value of Iron Ore ($/metric tonnes of iron ore per metric tonne of steel),Iron Ore expenses ($/year),Value of Hydrogen ($/metric tonnes of hydrogen per metric tonne of steel),Hydrogen expenses ($/year),Value of Natural Gas ($/GJ-LHV per metric tonne of steel),Natural Gas expenses ($/year),Value of Electricity ($/MWh per metric tonne of steel),Electricity expenses ($/year),Value of Slag Disposal ($/metric tonnes of slag per metric tonne of steel),Slag Disposal expenses ($/year),Annual operating incentive ($/year),Incidental revenue ($/year),Credit card fees ($/year),Sales tax ($/year),Road tax ($/year),Total revenue ($/year),Total feedstock/utilities cost ($/year),Labor ($/year),Total annual maintenance ($/year),Rent of land ($/year),Property insurance ($/year),Licensing & permitting ($/year),Administrative expense ($/year),TOPC revenue ($/year),Annual Operating Labor Cost expenses ($/year),Maintenance Labor Cost expenses ($/year),Administrative & Support Labor Cost expenses ($/year),Property tax and insurance expenses ($/year),Total operating expense ($/year),EBITD ($/year),Interest on outstanding debt ($/year),Depreciation ($/year),Taxable income ($/year),Remaining available deferred carry-forward tax losses ($/year),Income taxes payable ($/year),Income before extraordinary items ($/year),Sale of non-depreciable assets ($/year),Net capital gains or loss ($/year),Capital gains taxes payable ($/year),Net income ($/year),Net annual operating cash flow ($/year),Capital expenditure for EAF & Casting ($/year),Capital expenditure for Shaft Furnace ($/year),Capital expenditure for Oxygen Supply ($/year),Capital expenditure for H2 Pre-heating ($/year),Capital expenditure for Cooling Tower ($/year),Capital expenditure for Piping ($/year),Capital expenditure for Electrical & Instrumentation ($/year),"Capital expenditure for Buildings, Storage, Water Service ($/year)",Capital expenditure for Other Miscellaneous Costs ($/year),Expenditure for non-depreciable fixed assets ($/year),Capital expenditures for equipment installation ($/year),Total capital expenditures ($/year),Incurrence of debt ($/year),Repayment of debt ($/year),Inflow of equity ($/year),Dividends paid ($/year),One-time capital incentive ($/year),Net cash for financing activities ($/year),Net change of cash ($/year),Cumulative cash ($/year),Cumulative PP&E ($/year),Cumulative depreciation ($/year),Net PP&E ($/year),Cumulative deferred tax losses ($/year),Total assets ($/year),Cumulative debt ($/year),Total liabilities ($/year),Cumulative capital incentives equity ($/year),Cumulative investor equity ($/year),Retained earnings ($/year),Retained earnings no dividends ($/year),Total equity ($/year),Investor equity less capital incentive ($/year),Returns on investor equity,Debt/Equity ratio,Returns on total equity,Debt service coverage ratio (DSCR)
0,2031,-365741237.00749016,-365741237.00749016,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.781721822967,0.0,0.0,0.03,0.0,7.72,0.0,0.59289,0.0,122.1,0.0,236.97,0.0,207.35,0.0,5563.7232861218345,0.0,0.0,0.0,0.0,0.0,37.63,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-764893.9889863683,0.0,0.0,0.0,160342169.3217465,85937463.28398955,10713856.806455426,5937540.305008842,13211900.871282728,39164213.90674371,26109475.959926367,57655208.511736095,26109486.367718436,-764893.9889863683,168305763.67133194,594251972.994926,228510735.98743582,0.0,365741237.00749016,0.0,0.0,594251972.994926,0.0,0.0,594251972.994926,-0.0,594251972.994926,0.0,594251972.994926,228510735.98743582,228510735.98743582,0.0,365741237.00749016,0.0,0.0,365741237.00749016,365741237.00749016,0.0,0.6247880000000001,0.0,0.0
1,2032,-374941898.75782233,-9200661.750332175,2943815.2866670145,0.0,11436733.825435176,0.0,0.0,0.0,0.0,1046.781721822967,0.0,0.0,0.03,0.0,7.72,0.0,0.59289,0.0,122.1,0.0,236.97,0.0,207.35,0.0,5563.7232861218345,0.0,0.0,0.0,0.0,0.0,37.63,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,0.0,0.0,11436733.825435176,0.0,-11436733.825435176,0,-2943815.2866670145,-8492918.538768161,0.0,0.0,0.0,-8492918.538768161,-8492918.538768161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9200661.750332175,0.0,0.0,9200661.750332175,707743.2115640134,707743.2115640134,594251972.994926,-0.0,594251972.994926,-0.0,594959716.20649,228510735.98743582,228510735.98743582,0.0,374941898.75782233,-8492918.538768161,-8492918.538768161,366448980.21905416,366448980.21905416,-0.023176264629502594,0.623581312331222,-0.023176264629502594,0.0
2,2033,-383434817.2965905,-8492918.538768161,2943815.2866670145,0.0,11436733.825435176,0.0,0.0,0.0,0.0,1046.781721822967,0.0,0.0,0.03,0.0,7.72,0.0,0.59289,0.0,122.1,0.0,236.97,0.0,207.35,0.0,5563.7232861218345,0.0,0.0,0.0,0.0,0.0,37.63,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,0.0,0.0,11436733.825435176,0.0,-11436733.825435176,0,-2943815.2866670145,-8492918.538768161,0.0,0.0,0.0,-8492918.538768161,-8492918.538768161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8492918.538768161,0.0,0.0,8492918.538768161,0.0,707743.2115640134,594251972.994926,-0.0,594251972.994926,-0.0,594959716.20649,228510735.98743582,228510735.98743582,0.0,383434817.2965905,-16985837.077536322,-16985837.077536322,366448980.21905416,366448980.21905416,-0.023176264629502594,0.623581312331222,-0.023176264629502594,0.0
3,2034,-391927735.8353587,-8492918.538768161,2943815.2866670145,0.0,11436733.825435176,0.0,0.0,0.0,0.0,1046.781721822967,0.0,0.0,0.03,0.0,7.72,0.0,0.59289,0.0,122.1,0.0,236.97,0.0,207.35,0.0,5563.7232861218345,0.0,0.0,0.0,0.0,0.0,37.63,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,0.0,0.0,11436733.825435176,0.0,-11436733.825435176,0,-2943815.2866670145,-8492918.538768161,0.0,0.0,0.0,-8492918.538768161,-8492918.538768161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8492918.538768161,0.0,0.0,8492918.538768161,0.0,707743.2115640134,594251972.994926,-0.0,594251972.994926,-0.0,594959716.20649,228510735.98743582,228510735.98743582,0.0,391927735.8353587,-25478755.616304483,-25478755.616304483,366448980.2190542,366448980.2190542,-0.02317626462950259,0.6235813123312219,-0.02317626462950259,0.0
4,2035,-429820947.94440496,-37893212.109046265,45214969.5719706,-0.3881004516944685,324921353.7511574,2304.5001915048947,0.14285714285714288,386.28570872362525,0.0,1046.781721822967,140994.28368412322,147590239.04206237,0.03,1670782.2616568601,7.72,1088475.8700414312,0.59289,67182.07103291612,122.1,311943.0849255058,236.97,1797534.1487689156,207.35,47631976.82645482,5563.7232861218345,51742531.709492266,3.76232,380115.7445871951,89.42320514456621,6937010.046903904,37.63,924927.8446512001,0.0,0.0,0.0,0.0,-0.0,149261021.30371922,110881697.34685817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,207189291.09207034,-57928269.78835112,11436733.825435176,106295328.83365192,-175660332.4474382,0,-45214969.5719706,-130445362.87546761,0.0,0.0,0.0,-130445362.87546761,-24150034.0418157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,37893212.109046265,0.0,0.0,37893212.109046265,13743178.067230564,14450921.278794577,594251972.994926,-106295328.83365192,487956644.1612741,-0.0,502407565.44006866,228510735.98743582,228510735.98743582,0.0,429820947.94440496,-155924118.4917721,-155924118.4917721,273896829.4526329,273896829.4526329,-0.4762572941649423,0.8342949293867381,-0.4762572941649423,-1.1768667460073259
5,2036,-439838190.8440598,-10017242.899654845,31451992.146118812,-0.06578416054510926,420713154.2862217,1491.9511035949765,0.28571428571428575,772.5714174472505,0.0,1046.781721822967,281988.56736824644,295180478.08412474,0.03,3341564.5233137202,7.72,2176951.7400828623,0.59289,134364.14206583225,122.1,623886.1698510116,236.97,3595068.297537831,207.35,95263953.65290964,5563.7232861218345,103485063.41898453,3.776032,763002.198252714,89.97947569251141,13960325.530381104,37.63,1849855.6893024002,0.0,0.0,0.0,0.0,-0.0,298522042.60743845,221852470.83936796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,318160064.5845801,-19638021.97714168,11436733.825435176,91116355.8762064,-122191111.67878325,0,-31451992.146118812,-90739119.53266445,0.0,0.0,0.0,-90739119.53266445,377236.34354195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,10017242.899654845,0.0,0.0,10017242.899654845,10394479.243196795,24845400.521991372,594251972.994926,-197411684.7098583,396840288.2850677,-0.0,421685688.80705905,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-246663238.02443653,-246663238.02443653,193174952.8196233,193174952.8196233,-0.46972507671526087,1.1829211429952167,-0.46972507671526087,-0.4093202318043449
6,2037,-428428797.51968646,11409393.324373394,14922987.35327284,0.04143999819411753,505758927.7544865,1195.6960583536006,0.4285714285714286,1158.8571261708757,0.0,1046.781721822967,422982.85105236963,442770717.1261871,0.03,5012346.784970581,7.72,3265427.6101242932,0.59289,201546.21309874838,122.1,935829.2547765173,236.97,5392602.4463067455,207.35,142895930.47936445,5563.7232861218345,155227595.12847677,3.812906,1155679.6895779602,90.53574624045662,21069946.450431596,37.63,2774783.5339536,0.0,0.0,0.0,0.0,-0.0,447783063.91115767,332919340.8061107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,429226934.5513229,18556129.35983479,11436733.825435176,65095259.37772844,-57975863.843328826,0,-14922987.35327284,-43052876.490055986,0.0,0.0,0.0,-43052876.490055986,22042382.887672454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-11409393.324373394,0.0,-11409393.324373394,10632989.56329906,35478390.08529043,594251972.994926,-262506944.08758673,331745028.9073392,-0.0,367223418.99262965,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-301125507.8388659,-289716114.5144925,138712683.00519395,138712683.00519395,-0.31037447735362395,1.647367284928657,-0.31037447735362395,-0.12947310542953344
7,2038,-393386544.8180636,35042252.70162287,328747.57351460395,0.0948537426190833,598321270.8151667,1060.896327108581,0.5714285714285715,1545.142834894501,0.0,1046.781721822967,563977.1347364929,590360956.1682495,0.03,6683129.0466274405,7.72,4353903.480165725,0.59289,268728.2841316645,122.1,1247772.3397020232,236.97,7190136.595075662,207.35,190527907.30581927,5563.7232861218345,206970126.83796906,3.9107960000000004,1580466.4499230522,91.09201678840184,28265872.807055395,37.63,3699711.3786048004,0.0,0.0,0.0,0.0,-0.0,597044085.2148769,444104625.4784467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,540412219.2236589,56631865.99121797,11436733.825435176,46472317.76607263,-1277185.6002898365,0,-328747.57351460395,-948438.0267752325,0.0,0.0,0.0,-948438.0267752325,45523879.7392974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-35042252.70162287,0.0,-35042252.70162287,10481627.037674524,45960017.122964956,594251972.994926,-308979261.8536594,285272711.1412666,-0.0,331232728.26423156,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-337116198.567264,-290664552.54126775,102721992.2767958,102721992.2767958,-0.009233057164813948,2.224555140750077,-0.009233057164813948,-0.0021391813970155337
8,2039,-332281701.7419983,61104843.07606527,-0.0,0.12685657497424488,700271495.7370713,993.3331727205704,0.7142857142857144,1931.4285436181262,0.0,1046.781721822967,704971.4184206161,737951195.2103118,0.03,8353911.308284301,7.72,5442379.350207156,0.59289,335910.3551645806,122.1,1559715.4246275288,236.97,8987670.743844576,207.35,238159884.13227406,5563.7232861218345,258712658.54746133,3.865776,1952840.6975580342,91.64828733634704,35548104.60025249,37.63,4624639.223256,0.0,0.0,0.0,0.0,-0.0,746305106.518596,555323803.0746458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,651631396.819858,94673709.6987381,11436733.825435176,37203365.09177817,46033610.781524755,0,11849051.415164473,34184559.366360284,0.0,0.0,0.0,34184559.366360284,71387924.45813845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-61104843.07606527,0.0,-61104843.07606527,10283081.382073179,56243098.505038135,594251972.994926,-346182626.94543755,248069346.04948843,-0.0,304312444.55452657,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-364036482.276969,-256479993.17490748,75801708.56709081,75801708.56709081,0.4509734676508526,3.0145855589150057,0.4509734676508526,0.0616820257284113
9,2040,-242870889.6642474,89410812.07775092,-0.0,0.14801015490989583,811610827.2969587,959.3897545464235,0.8571428571428572,2317.7142523417515,0.0,1046.781721822967,845965.7021047393,885541434.2523742,0.03,10024693.569941161,7.72,6530855.2202485865,0.59289,403092.42619749677,122.1,1871658.5095530346,236.97,10785204.892613491,207.35,285791860.9587289,5563.7232861218345,310455190.25695354,3.9617400000000003,2401581.603841578,92.20455788429224,42916641.830022864,37.63,5549567.0679072,0.0,0.0,0.0,0.0,-0.0,895566127.8223153,666705652.7660667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,763013246.5112789,132552881.31103647,11436733.825435176,37160846.96024471,83955300.52535659,0,21610094.35522679,62345206.170129806,0.0,0.0,0.0,62345206.170129806,99506053.13037452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-89410812.07775092,0.0,-89410812.07775092,10095241.0526236,66338339.557661735,594251972.994926,-383343473.90568227,210908499.0892437,-0.0,277246838.6469054,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-391102088.1845901,-194134787.00477767,48736102.65946972,48736102.65946972,1.279240701821194,4.688736347756252,1.279240701821194,0.09374550679970982
10,2041,-136995538.79340965,105875350.87083775,-0.0,0.1542985776803127,843890724.4019136,950.0449602291789,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,4.027136,2563285.4554959596,89.87291235917809,43922945.48517982,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,698943031.7394881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,795250625.4847003,145093808.7287308,11436733.825435176,37203365.09177817,96453709.81151745,0,24827184.905484594,71626524.90603286,0.0,0.0,0.0,71626524.90603286,108829889.99781102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-105875350.87083775,0.0,-105875350.87083775,2954539.126973264,69292878.684635,594251972.994926,-420546838.9974604,173705133.99746555,-0.0,242998012.68210053,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-425350914.14939505,-122508262.09874481,14487276.694664776,14487276.694664776,4.944098633279416,15.7732016032792,4.944098633279416,0.10257274494552414
11,2042,-36325646.58845042,100669892.20495923,-0.0,0.15551714646511763,810175961.2727852,912.0891682410042,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,4.017166,2556939.5173425684,87.54126683406393,42783417.04883563,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,697797157.3649906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,794104751.1102028,146239683.10322833,11436733.825435176,4634476.337147224,130168472.94064595,0,33505364.93492227,96663108.00572369,0.0,0.0,0.0,96663108.00572369,101297584.3428709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-100669892.20495923,0.0,-100669892.20495923,627692.1379116774,69920570.82254668,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238991228.48286498,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429357698.34863055,-25845154.093021125,10480492.495429277,10480492.495429277,9.223145577164443,21.80343491368304,9.223145577164443,0.13842637676643219
12,2043,64619711.81655471,100945358.40500513,-0.0,0.15675985425767494,804372911.579553,905.5561445264444,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.9715339999999997,2527894.5976017923,85.20962130894978,41643888.612491444,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696628584.0089056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792936177.7541178,147408256.45931327,11436733.825435176,0.0,135971522.6338781,0,34999069.92596023,100972452.70791788,0.0,0.0,0.0,100972452.70791788,100972452.70791788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-100945358.40500513,0.0,-100945358.40500513,27094.3029127568,69947665.12545943,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,239018322.78577775,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429330604.04571784,75127298.61489676,10507586.79834199,10507586.79834199,9.60948071576725,21.74721373926627,9.60948071576725,0.14459757264115045
13,2044,166533075.45865154,101913363.64209682,-0.0,0.15800363694071276,803203327.4561874,904.2394367231266,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.924314,2497838.9105804153,82.87797578383562,40504360.17614725,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,695458999.88554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,791766593.6307522,148577840.5826789,11436733.825435176,0.0,137141106.75724375,0,35300120.87931454,101840985.87792921,0.0,0.0,0.0,101840985.87792921,101840985.87792921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101913363.64209682,0.0,-101913363.64209682,-72377.76416760683,69875287.36129183,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238945945.02161014,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429402981.8098855,176968284.49282598,10435209.034174323,10435209.034174323,9.759362322729675,21.89805065131755,9.759362322729675,0.14584135532418824
14,2045,269301559.97965294,102768484.5210014,-0.0,0.15922969002277296,802050415.2644218,902.9414980378189,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.903287,2484455.155159016,80.54633025872147,39364831.73980306,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,694306087.6937745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,790613681.4389867,149730752.77444446,11436733.825435176,0.0,138294018.9490093,0,35596880.477474995,102697138.47153431,0.0,0.0,0.0,102697138.47153431,102697138.47153431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-102768484.5210014,0.0,-102768484.5210014,-71346.04946708679,69803941.31182474,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238874598.97214305,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429474327.8593525,279665422.9643603,10363862.984707296,10363862.984707296,9.909156327430429,22.04879940275374,9.909156327430429,0.14706740840624843
