,Year,Cumulative cash flow,Investor cash flow,Monetized tax losses,Gross margin,Cost of goods sold ($/year),Cost of goods sold ($/metric tonnes),Average utilization,Steel sales (metric tonnes/day),Capacity covered by TOPC (metric tonnes/day),Cost of Steel ($/metric tonnes),Steel sales (metric tonnes/year),Sales revenue of Steel ($/year),Value of Oxygen sales ($/kg O2 per metric tonne of steel),Oxygen sales sales ($/year),Value of Maintenance Materials ($/Units per metric tonne of steel),Maintenance Materials expenses ($/year),Value of Raw Water Withdrawal ($/metric tonnes of water per metric tonne of steel),Raw Water Withdrawal expenses ($/year),Value of Lime ($/metric tonnes of lime per metric tonne of steel),Lime expenses ($/year),Value of Carbon ($/metric tonnes of carbon per metric tonne of steel),Carbon expenses ($/year),Value of Iron Ore ($/metric tonnes of iron ore per metric tonne of steel),Iron Ore expenses ($/year),Value of Hydrogen ($/metric tonnes of hydrogen per metric tonne of steel),Hydrogen expenses ($/year),Value of Natural Gas ($/GJ-LHV per metric tonne of steel),Natural Gas expenses ($/year),Value of Electricity ($/MWh per metric tonne of steel),Electricity expenses ($/year),Value of Slag Disposal ($/metric tonnes of slag per metric tonne of steel),Slag Disposal expenses ($/year),Annual operating incentive ($/year),Incidental revenue ($/year),Credit card fees ($/year),Sales tax ($/year),Road tax ($/year),Total revenue ($/year),Total feedstock/utilities cost ($/year),Labor ($/year),Total annual maintenance ($/year),Rent of land ($/year),Property insurance ($/year),Licensing & permitting ($/year),Administrative expense ($/year),TOPC revenue ($/year),Annual Operating Labor Cost expenses ($/year),Maintenance Labor Cost expenses ($/year),Administrative & Support Labor Cost expenses ($/year),Property tax and insurance expenses ($/year),Total operating expense ($/year),EBITD ($/year),Interest on outstanding debt ($/year),Depreciation ($/year),Taxable income ($/year),Remaining available deferred carry-forward tax losses ($/year),Income taxes payable ($/year),Income before extraordinary items ($/year),Sale of non-depreciable assets ($/year),Net capital gains or loss ($/year),Capital gains taxes payable ($/year),Net income ($/year),Net annual operating cash flow ($/year),Capital expenditure for EAF & Casting ($/year),Capital expenditure for Shaft Furnace ($/year),Capital expenditure for Oxygen Supply ($/year),Capital expenditure for H2 Pre-heating ($/year),Capital expenditure for Cooling Tower ($/year),Capital expenditure for Piping ($/year),Capital expenditure for Electrical & Instrumentation ($/year),"Capital expenditure for Buildings, Storage, Water Service ($/year)",Capital expenditure for Other Miscellaneous Costs ($/year),Expenditure for non-depreciable fixed assets ($/year),Capital expenditures for equipment installation ($/year),Total capital expenditures ($/year),Incurrence of debt ($/year),Repayment of debt ($/year),Inflow of equity ($/year),Dividends paid ($/year),One-time capital incentive ($/year),Net cash for financing activities ($/year),Net change of cash ($/year),Cumulative cash ($/year),Cumulative PP&E ($/year),Cumulative depreciation ($/year),Net PP&E ($/year),Cumulative deferred tax losses ($/year),Total assets ($/year),Cumulative debt ($/year),Total liabilities ($/year),Cumulative capital incentives equity ($/year),Cumulative investor equity ($/year),Retained earnings ($/year),Retained earnings no dividends ($/year),Total equity ($/year),Investor equity less capital incentive ($/year),Returns on investor equity,Debt/Equity ratio,Returns on total equity,Debt service coverage ratio (DSCR)
15,2046,371681289.6867856,102379729.70713262,-0.0,0.1588101099007163,802444965.0969044,903.3856788648743,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.878192,2468482.1042102347,81.38632144593608,39775354.62323437,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,694700637.526257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,791008231.2714692,149336202.94196188,11436733.825435176,0.0,137899469.11652672,0,35495323.350593984,102404145.76593274,0.0,0.0,0.0,102404145.76593274,102404145.76593274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-102379729.70713262,0.0,-102379729.70713262,24416.05880011618,69828357.37062486,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238899015.03094316,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429449911.80055237,382069568.73029304,10388279.043507457,10388279.043507457,9.857662211137276,21.996977076800043,9.857662211137276,0.1466478282841918
16,2047,473771961.32905513,102090671.64226954,-0.0,0.15839573094896892,802834624.0378352,903.8243535680499,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.845413,2447618.161709733,82.22631263315068,40185877.50666567,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,695090296.4671879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,791397890.2124001,148946544.00103104,11436733.825435176,0.0,137509810.17559588,0,35395025.139198385,102114785.03639749,0.0,0.0,0.0,102114785.03639749,102114785.03639749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-102090671.64226954,0.0,-102090671.64226954,24113.394127950072,69852470.7647528,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238923128.42507112,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429425798.4064244,484184353.7666905,10412392.437635422,10412392.437635422,9.80704344827662,21.946035683546416,9.80704344827662,0.1462334493324444
17,2048,575572897.4165657,101800936.08751051,-0.0,0.15798085651873828,803224748.8992001,904.2635528004653,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.813366,2427220.139643361,83.0663038203653,40596400.390096985,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,695480421.3285527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,791788015.0737649,148556419.1396662,11436733.825435176,0.0,137119685.31423104,0,35294606.99988307,101825078.31434797,0.0,0.0,0.0,101825078.31434797,101825078.31434797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101800936.08751051,0.0,-101800936.08751051,24142.226837456226,69876612.99159026,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238947270.65190858,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429401656.1795869,586009432.0810385,10436534.664472938,10436534.664472938,9.756598486753582,21.895269199393397,9.756598486753582,0.14581857490221378
18,2049,677086159.133548,101513261.7169823,-0.0,0.1575686686378252,803612347.4788669,904.6999079665509,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.77735,2404295.835878814,83.90629500757991,41006923.273528285,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,695868019.9082196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792175613.6534318,148168820.55999935,11436733.825435176,0.0,136732086.7345642,0,35194839.12547682,101537247.60908736,0.0,0.0,0.0,101537247.60908736,101537247.60908736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101513261.7169823,0.0,-101513261.7169823,23985.892105057836,69900598.88369532,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238971256.54401362,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429377670.2874819,687546679.6901258,10460520.55657792,10460520.55657792,9.706710775998369,21.845063517775003,9.706710775998369,0.14540638702130068
19,2050,778298875.7869232,101212716.65337512,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101212716.65337512,0.0,-101212716.65337512,24963.919670164585,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678118,788784360.2631711,10485484.476248026,10485484.476248026,9.655031277035537,21.79305462757242,9.655031277035537,0.14497739213117664
20,2051,879536556.3599684,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678118,890022040.8362163,10485484.476248026,10485484.476248026,9.655031277035537,21.79305462757242,9.655031277035537,0.14497739213117664
21,2052,980774236.9330137,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678118,991259721.4092616,10485484.476248026,10485484.476248026,9.655031277035537,21.79305462757242,9.655031277035537,0.14497739213117664
22,2053,1082011917.506059,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1092497401.982307,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
23,2054,1183249598.0791042,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1193735082.5553522,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
24,2055,1284487278.6521494,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1294972763.1283975,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
25,2056,1385724959.2251947,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1396210443.7014427,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
26,2057,1486962639.79824,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1497448124.274488,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
27,2058,1588200320.3712852,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1598685804.8475332,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
28,2059,1689438000.9443305,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1699923485.4205785,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
29,2060,1790675681.5173757,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1801161165.9936237,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
30,2061,1891913362.090421,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,1902398846.566669,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
31,2062,1993151042.6634662,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,2003636527.1397142,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
32,2063,2094388723.2365115,101237680.57304528,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,0.0,0.0,0.0,101237680.57304528,101237680.57304528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-101237680.57304528,0.0,-101237680.57304528,0.0,69925562.80336548,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,238996220.46368378,228510735.98743582,228510735.98743582,0.0,439838190.8440598,-429352706.3678117,2104874207.7127595,10485484.476248145,10485484.476248145,9.655031277035429,21.79305462757217,9.655031277035429,0.14497739213117664
33,2064,2037806124.6144729,-56582598.62203866,-0.0,0.15713967374770116,804015750.4361011,905.1540555657361,0.9,2433.599964958839,0.0,1046.781721822967,888263.9872099762,929818505.9649929,0.03,10525928.248438217,7.72,6857397.981261016,0.59289,423247.0475073716,122.1,1965241.4350306862,236.97,11324465.137244167,207.35,300081454.00666535,5563.7232861218345,325977949.7698012,3.766164,2397175.90968184,84.74628619479452,41417446.15695959,37.63,5827045.42130256,0.0,0.0,0.0,0.0,-0.0,940344434.2134311,696271422.8654537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66573859.19947836,3669314.751337664,17560793.487704005,8503626.306692153,792579016.6106659,147765417.6027652,11436733.825435176,0.0,136328683.77733004,0,35091003.20428476,101237680.57304528,764893.9889863683,764893.9889863683,0.0,102002574.56203166,102002574.56203166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-228510735.98743582,56582598.62203866,0.0,0.0,-171928137.36539716,-69925562.80336548,0.0,594251972.994926,-425181315.33460766,169070657.66031832,-0.0,169070657.66031832,0.0,0.0,0.0,496420789.4660985,-327350131.80577993,2206876782.2747912,169070657.66031855,169070657.66031855,0.6033132890922208,0.0,0.6033132890922208,0.14497739213117664
